"x" "y" "condition"
"693" -2299.465 -3960.915 1
"694" -2298.1787 -3965.4455 1
"695" -2303.86205 -3991.183 0
"696" -2302.26815 -3994.1185 0
"697" -2299.01605 -3987.669 0
"698" -2297.72975 -3992.1995 0
"699" -2297.9376 -3991.7775 1
"700" -2296.3437 -3994.713 1
"701" -2293.0916 -3988.2635 0
"702" -2291.8053 -3992.794 0
"703" -2293.57015 -3993.589 1
"704" -2291.97625 -3996.5245 1
"705" -2288.72415 -3990.075 1
"706" -2287.43785 -3994.6055 1
"707" -2293.7015 -3991.2265 1
"708" -2292.1076 -3994.162 1
"709" -2288.8555 -3987.7125 1
"710" -2287.5692 -3992.243 0
"711" -2290.5615 -3991.197 1
"712" -2288.9676 -3994.1325 1
"713" -2285.7155 -3987.683 1
"714" -2284.4292 -3992.2135 1
"715" -2281.7421 -3961.239 1
"716" -2276.3831 -3980.475 1
"717" -2276.3958 -3957.1835 1
"718" -2269.3706 -3950.3135 0
"719" -2268.92165 -3977.0675 1
"720" -2262.9972 -3977.662 0
"721" -2258.62975 -3979.4735 0
"722" -2258.7611 -3977.111 0
"723" -2255.6211 -3977.0815 0
"724" -2243.74025 -3985.2185 1
"725" -2240.4155 -3987.6815 1
"726" -2237.5056 -3947.8165 0
"727" -2235.83605 -3943.463 1
"728" -2236.00585 -3988.4865 1
"729" -2232.89255 -3949.703 1
"730" -2231.89885 -3990.783 1
"731" -2239.0051 -3988.4685 1
"732" -2234.63765 -3990.28 1
"733" -2234.769 -3987.9175 1
"734" -2231.629 -3987.888 1
"735" -2219.74815 -3996.025 0
"736" -2216.4234 -3998.488 0
"737" -2213.5135 -3958.623 1
"738" -2211.84395 -3954.2695 1
"739" -2212.01375 -3999.293 0
"740" -2208.90045 -3960.5095 1
"741" -2207.90675 -4001.5895 0
"742" -2233.15265 -3982.92 1
"743" -2233.284 -3980.5575 1
"744" -2230.144 -3980.528 1
"745" -2218.26315 -3988.665 1
"746" -2214.9384 -3991.128 1
"747" -2212.0285 -3951.263 0
"748" -2210.35895 -3946.9095 1
"749" -2210.52875 -3991.933 1
"750" -2207.41545 -3953.1495 0
"751" -2206.42175 -3994.2295 1
"752" -2239.3405 -3996.621 1
"753" -2234.97305 -3998.4325 1
"754" -2235.1044 -3996.07 1
"755" -2231.9644 -3996.0405 1
